genre,review
 comedy ," In tough economic times Max and Joey have all but run out of ideas until, they discover that senior housing is cheap. Not only that but Max's aunt just kicked the bucket and no one knows yet. In a hilarious series that always keeps you on your toes, the two friends take us on a cross-dressing, desperate and endearing ride through being broke."
 comedy ," Frankie Reno was a child star on a TV show. But that was thirty years ago. Now he's busy making ends meet running ""Babylon Vista"", a Hollywood apartment inhabited by has-beens and wannabees - with more stories than rent payments. Frankie slowly finds himself getting sucked into the bizarre world of his dysfunctional tenants."
 comedy , A gang of unemployed itinerant musicians play in the south of Stockholm. Then they get the chance to be an orchestra in a dance restaurant. It goes well until the female owner falls in love with one of them.
 comedy ," A committee investigating TV's first uncensored network examines a typical day's programming, which includes shows, commercials, news programs, you name it. What they discover will surely crack you up! This outrageous and irreverent spoof of television launched the careers of some of the greatest comedians of all time. This 1976 film tries to predict what American television will be like in the year 1985. Tunnelvision is America's first ""uncensored and free"" television network. Although wildly popular, it is also blamed for increased crime and unemployment. Christian A. Broder, president and founder of Tunnelvision, is called to defend his network in front of a Senate sub-committee. The sub-committee decides to view excerpts from a ""typical"" day of Tunnelvision broadcasting. What follows is a series of brief skits lampooning television, including cop shows, news broadcasts, situation comedies, and (of course) commercials."
 comedy ," Whether it's blocking up mouse holes, running from Landlords or making puppet shows in the bath, it's never a dull moment for The Young Professionals. Desperate to break into the online world and escape the terrors of temping, Natalie presents the lives of six housemates struggling to get on the career ladder after uni and pay their rent on time. Which is all helped along with Keara - the one with the 'real' job."
 comedy ," When Artie needs money for his daughters conservatory tuition, he concocts the heist of a valuable Stradivarius violin and finds himself embroiled in a thrilling and hilarious farce involving international art smugglers, federal investigators and the Hmong Mafia."
 comedy ," The ""Queen of Clean"" is back for another sold-out performance in Nashville, Tennessee, and her Southern sass and razor sharp wit will have you laughing until it hurts. Chonda's ready to tell it like it is, and there's no subject she's afraid to tackle! As the undisputed highest-selling female comedian of all time, this preacher's daughter is here to share some of her funniest stories with you and your whole family. Whether you're a woman, a man, a long-time fan or someone who's about to discover Chonda for the first time, come along and join in for a little girl talk. It's a conversation you won't want to miss!"
 comedy ," If you want to preserve a feeling of relative safety and harmony in life you better avoid thinking too much about certain matters. Like what sausages consist of, how laws are made. And what really goes on in hospitals. The Archive follows the daily chores of six individuals who work in the deep catacombs of a hospital, more specifically in the hospital archive where the case records are kept. Archive Director Dagny loves her colleagues with all her heart. But is love and care enough when the hospital administration sends their most insensitive computer engineer to take on the (long overdue) task of digitizing every file from A to Z? How can they preserve status quo when facing the evil nerd from hell? Dagny claims they have nothing to fear but fear itself. After all engineers have their own jobs, she reasons, they have no interest in taking theirs. Her strategy: don't rock the boat and everything will eventually return to normal."
 comedy ," Argan, a rich, eccentric hypochondriac, will do anything to defeat his fear of dying. When he tries to marry daughter Angelique to doctor Cleonte, Argan's rebellious daughter, strong-willed servants, and scheming wife all swing into action to save themselves from the impending domestic disaster. Can anyone reform Argan's health care? Can his brother convince him he's not really dying?"
 comedy ," Edouard is a pianist, married with Caroline. This evening, they are invited to Claude's. Claude is the snobbish uncle of Caroline, his son Alain (as snobbish as his father) is in love with Caroline. They spite Edouard a little because he's poor. At the party, Edouard must play the piano to make himself known by Claude's important acquaintances. But just before leaving, Edouard and Caroline quarrel about clothes, and Edouard goes alone..."
 comedy ," Piero arrives in Paris from Luino after having won a pool tournament with friends. In the train he meets the famous place Ramazzini and has so many incidents that culminated with his arrest and the confiscation by the commissioner Juvet. Released, find randomly hospitality at the madame Lenormand and know the great painter Valentine. Both women are tied up, as a wife and lover, Maurice, in prison for robbery. A day Piero wears a mistake and the coat of astrakhan, Maurice, and then..."
 comedy ," George Stoody is a mild-mannered bookstore owner who encounters a hoodlum/magician named Leo Wagonman, the estranged father of his new daughter-in-law Casey. Leo, on the run from a mob intent on collecting the payoff money Leo stole from a Las Vegas casino, decides to stay in the spare room above George's bookstore."
 comedy ," Summer 1910. Several tourists have vanished while relaxing on the beautiful beaches of the Channel Coast. Infamous inspectors Machin and Malfoy soon gather that the epicenter of these mysterious disappearances must be Slack Bay, a unique site where the Slack river and the sea join only at high tide. There lives a small community of fishermen and other oyster farmers. Among them evolves a curious family, the Br̩fort, renowned ferrymen of the Slack Bay, lead by the father nick-named ""The Eternal"", who rules as best as he can on his prankster bunch of sons, especially the impetuous Ma Loute, aged 18. Towering high above the bay stands the Van Peteghems' mansion. Every summer, this bourgeois family - all degenerate and decadent from inbreeding - stagnates in the villa, not without mingling during their leisure hours of walking, sailing or bathing, with the ordinary local people, Ma Loute and the other Br̩forts. Over the course of five days, as starts a peculiar love story between Ma Loute and the young and mischievous Billie Van Peteghem, confusion and mystification will descend on both families, shaking their convictions, foundations and way of life."
 comedy ," There is just one citizen standing in the way of famous entrepreneur-turned-politician Fatty Bonati's total subjugation of the Big City: a diminutive, unimpressive vigilante known as ""The Karate Tortoise."" Most tortoise than martial artist, this red belt has taken it upon himself to steal and consume all of Fatty Bonati's famous pizza. Armed with a band of freakish supervillains, Fatty sets out to capture the Karate Tortoise to make his five star tortoise pie. But just when the going gets tough, Karate Tortoise enlists the help of a pair of unlikely apprentices: an ass-kicking Damsel, and a washed-up marathoner, Dust Bunny. Together, the three Tortoise Revengers fight Fatty Bonati's super villains as they embark on a quest to topple Fatty from power-- and nab all of his delish pizza in the process, of course."
 comedy ," Welcome to Golden Picture Studios, a cheap production company responsible for all those bad local business commercials you see on TV. The show follows the mismatched production team as they take on new tasks with absurdest humor and over-the-top arguments."
 comedy ," In this sequel to the hugely successful ""Sanford and Son"", this show picks up where the original show left off. Lamont has moved away to work on the Alaska pipeline, leaving Fred alone to run the junkyard by himself. Cal, a friend of Lamont's, moves down to Watts to help Fred run the business. In the meantime, Fred meets a rich widow named Eve and falls in love. This is not good news for Eve's family who don't like the fact that she would fall for a common junk man. The show follows Fred as he keeps on trying to make his junk business a success and his love affair with Eve."
 comedy , The frustrated Mohan Seeks a eligible groom for his interfering sasu. The sasu that he has inherited in his dowry.the unwanted dowry that takes his life through various levels of hell. So he arranges a swayamwar and story starts happening. To palm of his sasu he finds three bachelors.This story is all about how the sasu gets married and lead to an unexpected ending. Mohan gets married to Nandini but in dowry he inherits his mother in law Lalitabai this unwanted dowry makes his marriage life miserable Mohan and Nandini are unable to get space in the house frustrated with this he arranges her Swayamwar (self selection) and finds three bachelor's who could marry her.
 comedy ," Academy Award-winner* Mary Astor (The Maltese Falcon) stars as a widow whose grown children try to break up her romance with a college professor in this charming, offbeat comedy directed by the legendary Jules Dassin (Never on Sunday, Naked City, Rififi). When Susan (Susan Peters) and Jeff Evans (Elliot Reid), the adult children of widowed author and lecturer Jo Evans (Astor), discover that their mother has fallen in love with staid professor Michael Kingsley (Herbert Marshall), they intervene to try to end what they believe is an inappropriate relationship."
 comedy ," Donna and Owen are sexually frustrated and being irritating. Doug and Kenny decide to help their friends get laid. They make a bet on who can get the other laid first, then go about coaching their friends with their prospective love interests while trying to sabotage the other person. It all blows up when Kenny and Doug spy on the couples about to consummate their relationships."
 comedy ," Lloyd Fellowes is the director of a theatre company. He's desperately trying to get his production together, despite the best efforts of the cast, the crew, and Lady Luck. We follow the production from final rehersals, through opening night, and onto the tour: as with any group of actors forced to work closely together for any great length of time, romances and arguments are bound to break out. Quite often, what's happening on stage is nothing compared to what's happening backstage...."
 comedy ," Written Without Consent is a new sketch comedy show from TechNikkel Mass Productions, in association with Arche Films. It's a unique blend of film, music, comedy, and entertainment. Imagine going to a live show and enjoying stand-up comedy and your favorite local band, all interspersed with hilarious skits on the big screen. There may even be a little magic. And when the live show is done, you can go home and watch it on television, just like any other sketch comedy show. That's Written Without Consent."
